location_name,cause_name,year,asmr,asmr_low,asmr_upp,deaths,deaths_low,deaths_upp
Brazil,Acute glomerulonephritis,1990,0.15,0.13,0.17,181.5,154.6,207.3
Brazil,Acute hepatitis A,1990,0.14,0.12,0.18,173.8,153.1,218.5
Brazil,Acute hepatitis B,1990,0.05,0.04,0.06,55.6,46.6,75.4
Brazil,Acute hepatitis C,1990,0.02,0.02,0.02,21.7,17.1,27.6
Brazil,Acute hepatitis E,1990,0.01,0.01,0.01,8.4,7.2,9.9
Brazil,Acute lymphoid leukemia,1990,0.99,0.93,1.05,1480.7,1382.1,1581.4
Brazil,Acute myeloid leukemia,1990,1.79,1.72,1.85,2061.8,1989.8,2133.7
Brazil,Adverse effects of medical treatment,1990,1.70,1.61,1.78,1678.6,1604.0,1753.4
Brazil,African trypanosomiasis,1990,0.00,0.00,0.00,0.0,0.0,0.0
Brazil,Alcohol use disorders,1990,3.66,3.58,3.75,4261.3,4159.5,4360.6
Brazil,Alcoholic cardiomyopathy,1990,1.65,1.52,1.84,1735.2,1599.6,1929.2
Brazil,Alzheimer's disease and other dementias,1990,28.22,6.85,73.83,15489.5,3807.7,41522.6
Brazil,Amphetamine use disorders,1990,0.00,0.00,0.00,4.5,4.2,4.9
Brazil,Anorexia nervosa,1990,0.00,0.00,0.00,2.8,2.2,3.2
Brazil,Aortic aneurysm,1990,3.39,3.23,3.51,2857.1,2740.9,2944.2
Brazil,Appendicitis,1990,0.66,0.62,0.70,726.0,689.4,759.5
Brazil,Asbestosis,1990,0.01,0.01,0.01,9.1,8.1,10.7
Brazil,Ascariasis,1990,0.05,0.04,0.06,80.7,57.6,99.7
Brazil,Asthma,1990,2.91,2.66,3.16,2670.1,2468.5,2875.1
Brazil,Atrial fibrillation and flutter,1990,5.00,4.33,5.35,2639.1,2346.7,2792.6
Brazil,Bladder cancer,1990,2.66,2.48,2.78,2029.3,1917.1,2113.6
Brazil,Brain and central nervous system cancer,1990,3.76,3.57,4.01,4182.6,3970.5,4424.4
Brazil,Breast cancer,1990,9.05,8.56,9.44,8381.3,8019.2,8707.8
Brazil,Burkitt lymphoma,1990,0.09,0.07,0.13,123.1,89.7,178.5
Brazil,COVID-19,1990,0.00,0.00,0.00,0.0,0.0,0.0
Brazil,Cellulitis,1990,0.22,0.20,0.23,216.0,202.9,228.6
Brazil,Cervical cancer,1990,6.98,6.63,7.30,6706.3,6437.2,6996.0
Brazil,Chagas disease,1990,9.94,8.79,10.80,9129.4,8088.9,9902.1
Brazil,Chlamydial infection,1990,0.02,0.02,0.02,22.1,20.6,24.2
Brazil,Chronic hepatitis B including cirrhosis,1990,5.17,4.67,5.66,5459.6,4968.6,5958.2
Brazil,Chronic hepatitis C including cirrhosis,1990,5.94,5.44,6.47,6187.0,5667.9,6747.2
Brazil,Chronic kidney disease due to diabetes mellitus type 1,1990,1.26,0.95,1.63,1376.8,1060.8,1763.8
Brazil,Chronic kidney disease due to diabetes mellitus type 2,1990,6.21,5.20,7.25,4641.9,3879.0,5418.3
Brazil,Chronic kidney disease due to glomerulonephritis,1990,3.10,2.59,3.64,3304.7,2812.8,3815.8
Brazil,Chronic kidney disease due to hypertension,1990,6.02,4.95,7.02,4523.8,3735.8,5285.2
Brazil,Chronic kidney disease due to other and unspecified causes,1990,1.39,1.11,1.71,1320.3,1091.3,1580.0
Brazil,Chronic lymphoid leukemia,1990,0.48,0.44,0.52,369.7,341.6,397.5
Brazil,Chronic myeloid leukemia,1990,0.84,0.78,0.89,829.8,783.7,877.6
Brazil,Chronic obstructive pulmonary disease,1990,45.47,41.88,47.89,32342.0,30343.9,33721.0
Brazil,Cirrhosis due to alcohol,1990,7.04,6.49,7.59,7101.9,6523.7,7663.4
Brazil,Cirrhosis due to other causes,1990,1.29,1.05,1.55,1508.7,1253.1,1772.5
Brazil,Coal workers pneumoconiosis,1990,0.02,0.01,0.02,14.2,12.6,16.1
Brazil,Cocaine use disorders,1990,0.07,0.06,0.07,93.4,88.7,98.5
Brazil,Colon and rectum cancer,1990,9.65,9.02,10.15,7969.9,7536.2,8359.6
Brazil,Conflict and terrorism,1990,0.03,0.02,0.03,42.9,39.0,47.2
Brazil,Congenital heart anomalies,1990,5.28,4.50,6.06,8240.8,7026.8,9453.1
Brazil,Congenital musculoskeletal and limb anomalies,1990,0.16,0.14,0.19,244.4,206.7,289.0
Brazil,Crohn's disease,1990,0.10,0.10,0.11,107.2,103.0,112.6
Brazil,Cyclist road injuries,1990,0.45,0.43,0.47,615.7,583.7,652.7
Brazil,Cystic echinococcosis,1990,0.01,0.01,0.02,14.3,8.2,20.4
Brazil,Cysticercosis,1990,0.13,0.08,0.17,149.3,97.7,205.8
Brazil,Decubitus ulcer,1990,0.72,0.65,0.77,498.2,458.4,525.9
Brazil,Dengue,1990,0.02,0.02,0.03,28.1,19.8,38.8
Brazil,Diabetes mellitus type 1,1990,0.62,0.60,0.65,759.6,730.5,790.7
Brazil,Diabetes mellitus type 2,1990,31.51,29.35,32.77,25557.5,24203.7,26416.9
Brazil,Diarrheal diseases,1990,28.15,25.36,31.18,37142.8,32688.2,41786.4
Brazil,Digestive congenital anomalies,1990,1.04,0.85,1.32,1610.3,1320.5,2048.4
Brazil,Diphtheria,1990,0.03,0.03,0.04,51.4,42.7,61.4
Brazil,Down syndrome,1990,0.43,0.34,0.53,666.7,519.9,814.5
Brazil,Drowning,1990,6.03,5.79,6.28,9310.1,8879.9,9733.6
Brazil,Drug-susceptible tuberculosis,1990,7.84,7.58,8.07,8517.4,8268.4,8759.0
Brazil,Ebola,1990,0.00,0.00,0.00,0.0,0.0,0.0
Brazil,Ectopic pregnancy,1990,0.07,0.06,0.08,111.0,93.3,133.7
Brazil,Electrocution,1990,1.05,0.96,1.12,1569.5,1426.8,1671.1
Brazil,Encephalitis,1990,0.32,0.30,0.34,444.5,409.3,480.3
Brazil,Endocarditis,1990,0.79,0.76,0.82,867.8,832.4,899.9
Brazil,Endometriosis,1990,0.00,0.00,0.00,2.8,2.0,4.2
Brazil,Environmental heat and cold exposure,1990,0.06,0.06,0.06,63.2,61.1,65.9
Brazil,Esophageal cancer,1990,7.14,6.79,7.37,6224.8,5970.9,6415.1
